geojson,time,segment,distance_m
"{""type"": ""LineString"", ""coordinates"": [[-43.40775, -21.71465], [-43.40773, -21.71466], [-43.40752, -21.71474], [-43.40739, -21.7148], [-43.40719, -21.7149], [-43.407, -21.715], [-43.40684, -21.71509], [-43.40665, -21.7152], [-43.40633, -21.7154], [-43.40604, -21.71559], [-43.4059, -21.71568], [-43.40575, -21.71579], [-43.40567, -21.71585], [-43.40562, -21.71589], [-43.40555, -21.71596], [-43.40535, -21.71616], [-43.40513, -21.71639], [-43.40501, -21.7165], [-43.40486, -21.71664], [-43.40457, -21.71685], [-43.40406, -21.71718], [-43.4035, -21.71752], [-43.40333, -21.71763], [-43.40317, -21.71774], [-43.40306, -21.71783], [-43.40295, -21.71792], [-43.4028, -21.71802], [-43.40261, -21.71812], [-43.40193, -21.71837], [-43.40118, -21.71864], [-43.40106, -21.71866], [-43.40097, -21.71868], [-43.40093, -21.71869], [-43.40087, -21.71872], [-43.40082, -21.71873], [-43.40078, -21.71875], [-43.40074, -21.71876], [-43.40071, -21.71876], [-43.40068, -21.71875], [-43.40065, -21.71874], [-43.40061, -21.71871], [-43.40057, -21.71868], [-43.40081, -21.71858], [-43.40178, -21.71821], [-43.40236, -21.71799], [-43.40322, -21.7176], [-43.40356, -21.71741], [-43.40408, -21.7171], [-43.40446, -21.71686], [-43.40475, -21.71663], [-43.405, -21.71641], [-43.40535, -21.71607], [-43.40559, -21.71584], [-43.40575, -21.71571], [-43.40592, -21.7156], [-43.40601, -21.71552], [-43.40613, -21.71545], [-43.40635, -21.71531], [-43.40662, -21.71513], [-43.40681, -21.71502], [-43.40702, -21.71491], [-43.40735, -21.71473], [-43.4077, -21.71456], [-43.40774, -21.71454], [-43.408, -21.71441], [-43.40821, -21.71432]]}",2025-08-03T10:57:46.666613,1_to_0,1821.3
"{""type"": ""LineString"", ""coordinates"": [[-43.40821, -21.71432], [-43.40829, -21.71428], [-43.40843, -21.71421], [-43.40889, -21.71397], [-43.4091, -21.71386], [-43.40927, -21.71376], [-43.40933, -21.7138], [-43.40936, -21.71383], [-43.40938, -21.71388], [-43.40941, -21.71392], [-43.40931, -21.71399], [-43.40916, -21.71407], [-43.40894, -21.71419], [-43.40864, -21.71434], [-43.40846, -21.71443], [-43.40841, -21.71444], [-43.40833, -21.71446], [-43.40817, -21.7145], [-43.40803, -21.71454], [-43.40789, -21.71459], [-43.40778, -21.71463], [-43.40773, -21.71466], [-43.40752, -21.71474], [-43.4075, -21.71481], [-43.40749, -21.71487], [-43.40751, -21.71496], [-43.40757, -21.71505], [-43.40764, -21.7152], [-43.40778, -21.71545], [-43.40794, -21.71571], [-43.40814, -21.71602], [-43.40831, -21.71631], [-43.40849, -21.71662], [-43.40736, -21.71718], [-43.407, -21.71735]]}",2025-08-03T10:59:59.999946,0_to_8,773.6
"{""type"": ""LineString"", ""coordinates"": [[-43.407, -21.71735], [-43.40568, -21.71803], [-43.40559, -21.71813], [-43.40555, -21.71822], [-43.40556, -21.71833], [-43.40559, -21.71841], [-43.40567, -21.71857], [-43.40574, -21.71858], [-43.4059, -21.7186], [-43.40601, -21.71862], [-43.40609, -21.71863]]}",2025-08-03T11:02:13.333279,8_to_6,265.6
"{""type"": ""LineString"", ""coordinates"": [[-43.40609, -21.71863], [-43.40618, -21.71864], [-43.40648, -21.71868], [-43.4069, -21.71877], [-43.40707, -21.71882], [-43.40713, -21.71885], [-43.4072, -21.71896]]}",2025-08-03T11:04:26.666612,6_to_5,125.3
"{""type"": ""LineString"", ""coordinates"": [[-43.4072, -21.71896], [-43.40721, -21.71897], [-43.4074, -21.71923], [-43.40748, -21.71938], [-43.40765, -21.71964], [-43.40776, -21.71973], [-43.408, -21.71985], [-43.40821, -21.71994], [-43.40839, -21.72004], [-43.40846, -21.72006]]}",2025-08-03T11:06:39.999945,5_to_4,184.5
"{""type"": ""LineString"", ""coordinates"": [[-43.40846, -21.72006], [-43.40859, -21.72011], [-43.40878, -21.72019], [-43.40895, -21.72024], [-43.40935, -21.72039], [-43.40956, -21.72045], [-43.4097, -21.72047], [-43.4098, -21.72045], [-43.40991, -21.72041], [-43.41022, -21.72024]]}",2025-08-03T11:08:53.333278,4_to_3,196.5
"{""type"": ""LineString"", ""coordinates"": [[-43.41022, -21.72024], [-43.41051, -21.72009], [-43.41022, -21.71962], [-43.40991, -21.71909], [-43.41016, -21.71896]]}",2025-08-03T11:11:06.666611,3_to_7,191.4
"{""type"": ""LineString"", ""coordinates"": [[-43.41016, -21.71896], [-43.40991, -21.71909], [-43.40964, -21.71861], [-43.40952, -21.7184], [-43.40945, -21.71829], [-43.4094, -21.71822], [-43.40917, -21.71782], [-43.40892, -21.71742], [-43.4087, -21.71704], [-43.40866, -21.71695]]}",2025-08-03T11:13:19.999944,7_to_2,299.8
"{""type"": ""LineString"", ""coordinates"": [[-43.40866, -21.71695], [-43.40849, -21.71662], [-43.40896, -21.71635], [-43.40888, -21.71613], [-43.40877, -21.71586], [-43.40866, -21.71565], [-43.40853, -21.71542], [-43.40837, -21.71513], [-43.40822, -21.71485], [-43.40813, -21.71469], [-43.40806, -21.71459], [-43.40803, -21.71454], [-43.40789, -21.71459], [-43.40778, -21.71463], [-43.40775, -21.71465]]}",2025-08-03T11:15:33.333277,2_to_1,351.8
"{""type"": ""LineString"", ""coordinates"": [[-43.40775, -21.71465], [-43.40773, -21.71466], [-43.40752, -21.71474], [-43.40739, -21.7148], [-43.40719, -21.7149], [-43.407, -21.715], [-43.40684, -21.71509], [-43.40665, -21.7152], [-43.40633, -21.7154], [-43.40604, -21.71559], [-43.4059, -21.71568], [-43.40575, -21.71579], [-43.40567, -21.71585], [-43.40562, -21.71589], [-43.40555, -21.71596], [-43.40535, -21.71616], [-43.40513, -21.71639], [-43.40501, -21.7165], [-43.40486, -21.71664], [-43.40457, -21.71685], [-43.40406, -21.71718], [-43.4035, -21.71752], [-43.40333, -21.71763], [-43.40317, -21.71774], [-43.40306, -21.71783], [-43.40295, -21.71792], [-43.4028, -21.71802], [-43.40261, -21.71812], [-43.40193, -21.71837], [-43.40118, -21.71864], [-43.40106, -21.71866], [-43.40097, -21.71868], [-43.40093, -21.71869], [-43.40087, -21.71872], [-43.40082, -21.71873], [-43.40078, -21.71875], [-43.40074, -21.71876], [-43.40071, -21.71876], [-43.40068, -21.71875], [-43.40065, -21.71874], [-43.40061, -21.71871], [-43.40057, -21.71868], [-43.40081, -21.71858], [-43.40178, -21.71821], [-43.40236, -21.71799], [-43.40322, -21.7176], [-43.40356, -21.71741], [-43.40408, -21.7171], [-43.40446, -21.71686], [-43.40475, -21.71663], [-43.405, -21.71641], [-43.40535, -21.71607], [-43.40559, -21.71584], [-43.40575, -21.71571], [-43.40592, -21.7156], [-43.40601, -21.71552], [-43.40613, -21.71545], [-43.40635, -21.71531], [-43.40662, -21.71513], [-43.40681, -21.71502], [-43.40702, -21.71491], [-43.40735, -21.71473], [-43.4077, -21.71456], [-43.40774, -21.71454], [-43.408, -21.71441], [-43.40821, -21.71432]]}",2025-08-03T11:17:46.666610,1_to_0,1821.3
"{""type"": ""LineString"", ""coordinates"": [[-43.40821, -21.71432], [-43.40829, -21.71428], [-43.40843, -21.71421], [-43.40889, -21.71397], [-43.4091, -21.71386], [-43.40927, -21.71376], [-43.40933, -21.7138], [-43.40936, -21.71383], [-43.40938, -21.71388], [-43.40941, -21.71392], [-43.40931, -21.71399], [-43.40916, -21.71407], [-43.40894, -21.71419], [-43.40864, -21.71434], [-43.40846, -21.71443], [-43.40841, -21.71444], [-43.40833, -21.71446], [-43.40817, -21.7145], [-43.40803, -21.71454], [-43.40789, -21.71459], [-43.40778, -21.71463], [-43.40773, -21.71466], [-43.40752, -21.71474], [-43.4075, -21.71481], [-43.40749, -21.71487], [-43.40751, -21.71496], [-43.40757, -21.71505], [-43.40764, -21.7152], [-43.40778, -21.71545], [-43.40794, -21.71571], [-43.40814, -21.71602], [-43.40831, -21.71631], [-43.40849, -21.71662], [-43.40736, -21.71718], [-43.407, -21.71735]]}",2025-08-03T11:19:59.999943,0_to_8,773.6
"{""type"": ""LineString"", ""coordinates"": [[-43.407, -21.71735], [-43.40568, -21.71803], [-43.40559, -21.71813], [-43.40555, -21.71822], [-43.40556, -21.71833], [-43.40559, -21.71841], [-43.40567, -21.71857], [-43.40574, -21.71858], [-43.4059, -21.7186], [-43.40601, -21.71862], [-43.40609, -21.71863]]}",2025-08-03T11:22:13.333276,8_to_6,265.6
"{""type"": ""LineString"", ""coordinates"": [[-43.40609, -21.71863], [-43.40618, -21.71864], [-43.40648, -21.71868], [-43.4069, -21.71877], [-43.40707, -21.71882], [-43.40713, -21.71885], [-43.4072, -21.71896]]}",2025-08-03T11:24:26.666609,6_to_5,125.3
"{""type"": ""LineString"", ""coordinates"": [[-43.4072, -21.71896], [-43.40721, -21.71897], [-43.4074, -21.71923], [-43.40748, -21.71938], [-43.40765, -21.71964], [-43.40776, -21.71973], [-43.408, -21.71985], [-43.40821, -21.71994], [-43.40839, -21.72004], [-43.40846, -21.72006]]}",2025-08-03T11:26:39.999942,5_to_4,184.5
"{""type"": ""LineString"", ""coordinates"": [[-43.40846, -21.72006], [-43.40859, -21.72011], [-43.40878, -21.72019], [-43.40895, -21.72024], [-43.40935, -21.72039], [-43.40956, -21.72045], [-43.4097, -21.72047], [-43.4098, -21.72045], [-43.40991, -21.72041], [-43.41022, -21.72024]]}",2025-08-03T11:28:53.333275,4_to_3,196.5
"{""type"": ""LineString"", ""coordinates"": [[-43.41022, -21.72024], [-43.41051, -21.72009], [-43.41022, -21.71962], [-43.40991, -21.71909], [-43.41016, -21.71896]]}",2025-08-03T11:31:06.666608,3_to_7,191.4
"{""type"": ""LineString"", ""coordinates"": [[-43.41016, -21.71896], [-43.40991, -21.71909], [-43.40964, -21.71861], [-43.40952, -21.7184], [-43.40945, -21.71829], [-43.4094, -21.71822], [-43.40917, -21.71782], [-43.40892, -21.71742], [-43.4087, -21.71704], [-43.40866, -21.71695]]}",2025-08-03T11:33:19.999941,7_to_2,299.8
"{""type"": ""LineString"", ""coordinates"": [[-43.40866, -21.71695], [-43.40849, -21.71662], [-43.40896, -21.71635], [-43.40888, -21.71613], [-43.40877, -21.71586], [-43.40866, -21.71565], [-43.40853, -21.71542], [-43.40837, -21.71513], [-43.40822, -21.71485], [-43.40813, -21.71469], [-43.40806, -21.71459], [-43.40803, -21.71454], [-43.40789, -21.71459], [-43.40778, -21.71463], [-43.40775, -21.71465]]}",2025-08-03T11:35:33.333274,2_to_1,351.8
"{""type"": ""LineString"", ""coordinates"": [[-43.40775, -21.71465], [-43.40773, -21.71466], [-43.40752, -21.71474], [-43.40739, -21.7148], [-43.40719, -21.7149], [-43.407, -21.715], [-43.40684, -21.71509], [-43.40665, -21.7152], [-43.40633, -21.7154], [-43.40604, -21.71559], [-43.4059, -21.71568], [-43.40575, -21.71579], [-43.40567, -21.71585], [-43.40562, -21.71589], [-43.40555, -21.71596], [-43.40535, -21.71616], [-43.40513, -21.71639], [-43.40501, -21.7165], [-43.40486, -21.71664], [-43.40457, -21.71685], [-43.40406, -21.71718], [-43.4035, -21.71752], [-43.40333, -21.71763], [-43.40317, -21.71774], [-43.40306, -21.71783], [-43.40295, -21.71792], [-43.4028, -21.71802], [-43.40261, -21.71812], [-43.40193, -21.71837], [-43.40118, -21.71864], [-43.40106, -21.71866], [-43.40097, -21.71868], [-43.40093, -21.71869], [-43.40087, -21.71872], [-43.40082, -21.71873], [-43.40078, -21.71875], [-43.40074, -21.71876], [-43.40071, -21.71876], [-43.40068, -21.71875], [-43.40065, -21.71874], [-43.40061, -21.71871], [-43.40057, -21.71868], [-43.40081, -21.71858], [-43.40178, -21.71821], [-43.40236, -21.71799], [-43.40322, -21.7176], [-43.40356, -21.71741], [-43.40408, -21.7171], [-43.40446, -21.71686], [-43.40475, -21.71663], [-43.405, -21.71641], [-43.40535, -21.71607], [-43.40559, -21.71584], [-43.40575, -21.71571], [-43.40592, -21.7156], [-43.40601, -21.71552], [-43.40613, -21.71545], [-43.40635, -21.71531], [-43.40662, -21.71513], [-43.40681, -21.71502], [-43.40702, -21.71491], [-43.40735, -21.71473], [-43.4077, -21.71456], [-43.40774, -21.71454], [-43.408, -21.71441], [-43.40821, -21.71432]]}",2025-08-03T11:37:46.666607,1_to_0,1821.3
"{""type"": ""LineString"", ""coordinates"": [[-43.40821, -21.71432], [-43.40829, -21.71428], [-43.40843, -21.71421], [-43.40889, -21.71397], [-43.4091, -21.71386], [-43.40927, -21.71376], [-43.40933, -21.7138], [-43.40936, -21.71383], [-43.40938, -21.71388], [-43.40941, -21.71392], [-43.40931, -21.71399], [-43.40916, -21.71407], [-43.40894, -21.71419], [-43.40864, -21.71434], [-43.40846, -21.71443], [-43.40841, -21.71444], [-43.40833, -21.71446], [-43.40817, -21.7145], [-43.40803, -21.71454], [-43.40789, -21.71459], [-43.40778, -21.71463], [-43.40773, -21.71466], [-43.40752, -21.71474], [-43.4075, -21.71481], [-43.40749, -21.71487], [-43.40751, -21.71496], [-43.40757, -21.71505], [-43.40764, -21.7152], [-43.40778, -21.71545], [-43.40794, -21.71571], [-43.40814, -21.71602], [-43.40831, -21.71631], [-43.40849, -21.71662], [-43.40736, -21.71718], [-43.407, -21.71735]]}",2025-08-03T11:39:59.999940,0_to_8,773.6
"{""type"": ""LineString"", ""coordinates"": [[-43.407, -21.71735], [-43.40568, -21.71803], [-43.40559, -21.71813], [-43.40555, -21.71822], [-43.40556, -21.71833], [-43.40559, -21.71841], [-43.40567, -21.71857], [-43.40574, -21.71858], [-43.4059, -21.7186], [-43.40601, -21.71862], [-43.40609, -21.71863]]}",2025-08-03T11:42:13.333273,8_to_6,265.6
"{""type"": ""LineString"", ""coordinates"": [[-43.40609, -21.71863], [-43.40618, -21.71864], [-43.40648, -21.71868], [-43.4069, -21.71877], [-43.40707, -21.71882], [-43.40713, -21.71885], [-43.4072, -21.71896]]}",2025-08-03T11:44:26.666606,6_to_5,125.3
"{""type"": ""LineString"", ""coordinates"": [[-43.4072, -21.71896], [-43.40721, -21.71897], [-43.4074, -21.71923], [-43.40748, -21.71938], [-43.40765, -21.71964], [-43.40776, -21.71973], [-43.408, -21.71985], [-43.40821, -21.71994], [-43.40839, -21.72004], [-43.40846, -21.72006]]}",2025-08-03T11:46:39.999939,5_to_4,184.5
"{""type"": ""LineString"", ""coordinates"": [[-43.40846, -21.72006], [-43.40859, -21.72011], [-43.40878, -21.72019], [-43.40895, -21.72024], [-43.40935, -21.72039], [-43.40956, -21.72045], [-43.4097, -21.72047], [-43.4098, -21.72045], [-43.40991, -21.72041], [-43.41022, -21.72024]]}",2025-08-03T11:48:53.333272,4_to_3,196.5
"{""type"": ""LineString"", ""coordinates"": [[-43.41022, -21.72024], [-43.41051, -21.72009], [-43.41022, -21.71962], [-43.40991, -21.71909], [-43.41016, -21.71896]]}",2025-08-03T11:51:06.666605,3_to_7,191.4
"{""type"": ""LineString"", ""coordinates"": [[-43.41016, -21.71896], [-43.40991, -21.71909], [-43.40964, -21.71861], [-43.40952, -21.7184], [-43.40945, -21.71829], [-43.4094, -21.71822], [-43.40917, -21.71782], [-43.40892, -21.71742], [-43.4087, -21.71704], [-43.40866, -21.71695]]}",2025-08-03T11:53:19.999938,7_to_2,299.8
"{""type"": ""LineString"", ""coordinates"": [[-43.40866, -21.71695], [-43.40849, -21.71662], [-43.40896, -21.71635], [-43.40888, -21.71613], [-43.40877, -21.71586], [-43.40866, -21.71565], [-43.40853, -21.71542], [-43.40837, -21.71513], [-43.40822, -21.71485], [-43.40813, -21.71469], [-43.40806, -21.71459], [-43.40803, -21.71454], [-43.40789, -21.71459], [-43.40778, -21.71463], [-43.40775, -21.71465]]}",2025-08-03T11:55:33.333271,2_to_1,351.8
"{""type"": ""LineString"", ""coordinates"": [[-43.40775, -21.71465], [-43.40773, -21.71466], [-43.40752, -21.71474], [-43.40739, -21.7148], [-43.40719, -21.7149], [-43.407, -21.715], [-43.40684, -21.71509], [-43.40665, -21.7152], [-43.40633, -21.7154], [-43.40604, -21.71559], [-43.4059, -21.71568], [-43.40575, -21.71579], [-43.40567, -21.71585], [-43.40562, -21.71589], [-43.40555, -21.71596], [-43.40535, -21.71616], [-43.40513, -21.71639], [-43.40501, -21.7165], [-43.40486, -21.71664], [-43.40457, -21.71685], [-43.40406, -21.71718], [-43.4035, -21.71752], [-43.40333, -21.71763], [-43.40317, -21.71774], [-43.40306, -21.71783], [-43.40295, -21.71792], [-43.4028, -21.71802], [-43.40261, -21.71812], [-43.40193, -21.71837], [-43.40118, -21.71864], [-43.40106, -21.71866], [-43.40097, -21.71868], [-43.40093, -21.71869], [-43.40087, -21.71872], [-43.40082, -21.71873], [-43.40078, -21.71875], [-43.40074, -21.71876], [-43.40071, -21.71876], [-43.40068, -21.71875], [-43.40065, -21.71874], [-43.40061, -21.71871], [-43.40057, -21.71868], [-43.40081, -21.71858], [-43.40178, -21.71821], [-43.40236, -21.71799], [-43.40322, -21.7176], [-43.40356, -21.71741], [-43.40408, -21.7171], [-43.40446, -21.71686], [-43.40475, -21.71663], [-43.405, -21.71641], [-43.40535, -21.71607], [-43.40559, -21.71584], [-43.40575, -21.71571], [-43.40592, -21.7156], [-43.40601, -21.71552], [-43.40613, -21.71545], [-43.40635, -21.71531], [-43.40662, -21.71513], [-43.40681, -21.71502], [-43.40702, -21.71491], [-43.40735, -21.71473], [-43.4077, -21.71456], [-43.40774, -21.71454], [-43.408, -21.71441], [-43.40821, -21.71432]]}",2025-08-03T11:57:46.666604,1_to_0,1821.3
"{""type"": ""LineString"", ""coordinates"": [[-43.40821, -21.71432], [-43.40829, -21.71428], [-43.40843, -21.71421], [-43.40889, -21.71397], [-43.4091, -21.71386], [-43.40927, -21.71376], [-43.40933, -21.7138], [-43.40936, -21.71383], [-43.40938, -21.71388], [-43.40941, -21.71392], [-43.40931, -21.71399], [-43.40916, -21.71407], [-43.40894, -21.71419], [-43.40864, -21.71434], [-43.40846, -21.71443], [-43.40841, -21.71444], [-43.40833, -21.71446], [-43.40817, -21.7145], [-43.40803, -21.71454], [-43.40789, -21.71459], [-43.40778, -21.71463], [-43.40773, -21.71466], [-43.40752, -21.71474], [-43.4075, -21.71481], [-43.40749, -21.71487], [-43.40751, -21.71496], [-43.40757, -21.71505], [-43.40764, -21.7152], [-43.40778, -21.71545], [-43.40794, -21.71571], [-43.40814, -21.71602], [-43.40831, -21.71631], [-43.40849, -21.71662], [-43.40736, -21.71718], [-43.407, -21.71735]]}",2025-08-03T11:59:59.999937,0_to_8,773.6
"{""type"": ""LineString"", ""coordinates"": [[-43.407, -21.71735], [-43.40568, -21.71803], [-43.40559, -21.71813], [-43.40555, -21.71822], [-43.40556, -21.71833], [-43.40559, -21.71841], [-43.40567, -21.71857], [-43.40574, -21.71858], [-43.4059, -21.7186], [-43.40601, -21.71862], [-43.40609, -21.71863]]}",2025-08-03T12:02:13.333270,8_to_6,265.6
"{""type"": ""LineString"", ""coordinates"": [[-43.40609, -21.71863], [-43.40618, -21.71864], [-43.40648, -21.71868], [-43.4069, -21.71877], [-43.40707, -21.71882], [-43.40713, -21.71885], [-43.4072, -21.71896]]}",2025-08-03T12:04:26.666603,6_to_5,125.3
"{""type"": ""LineString"", ""coordinates"": [[-43.4072, -21.71896], [-43.40721, -21.71897], [-43.4074, -21.71923], [-43.40748, -21.71938], [-43.40765, -21.71964], [-43.40776, -21.71973], [-43.408, -21.71985], [-43.40821, -21.71994], [-43.40839, -21.72004], [-43.40846, -21.72006]]}",2025-08-03T12:06:39.999936,5_to_4,184.5
"{""type"": ""LineString"", ""coordinates"": [[-43.40846, -21.72006], [-43.40859, -21.72011], [-43.40878, -21.72019], [-43.40895, -21.72024], [-43.40935, -21.72039], [-43.40956, -21.72045], [-43.4097, -21.72047], [-43.4098, -21.72045], [-43.40991, -21.72041], [-43.41022, -21.72024]]}",2025-08-03T12:08:53.333269,4_to_3,196.5
"{""type"": ""LineString"", ""coordinates"": [[-43.41022, -21.72024], [-43.41051, -21.72009], [-43.41022, -21.71962], [-43.40991, -21.71909], [-43.41016, -21.71896]]}",2025-08-03T12:11:06.666602,3_to_7,191.4
"{""type"": ""LineString"", ""coordinates"": [[-43.41016, -21.71896], [-43.40991, -21.71909], [-43.40964, -21.71861], [-43.40952, -21.7184], [-43.40945, -21.71829], [-43.4094, -21.71822], [-43.40917, -21.71782], [-43.40892, -21.71742], [-43.4087, -21.71704], [-43.40866, -21.71695]]}",2025-08-03T12:13:19.999935,7_to_2,299.8
"{""type"": ""LineString"", ""coordinates"": [[-43.40866, -21.71695], [-43.40849, -21.71662], [-43.40896, -21.71635], [-43.40888, -21.71613], [-43.40877, -21.71586], [-43.40866, -21.71565], [-43.40853, -21.71542], [-43.40837, -21.71513], [-43.40822, -21.71485], [-43.40813, -21.71469], [-43.40806, -21.71459], [-43.40803, -21.71454], [-43.40789, -21.71459], [-43.40778, -21.71463], [-43.40775, -21.71465]]}",2025-08-03T12:15:33.333268,2_to_1,351.8
"{""type"": ""LineString"", ""coordinates"": [[-43.40775, -21.71465], [-43.40773, -21.71466], [-43.40752, -21.71474], [-43.40739, -21.7148], [-43.40719, -21.7149], [-43.407, -21.715], [-43.40684, -21.71509], [-43.40665, -21.7152], [-43.40633, -21.7154], [-43.40604, -21.71559], [-43.4059, -21.71568], [-43.40575, -21.71579], [-43.40567, -21.71585], [-43.40562, -21.71589], [-43.40555, -21.71596], [-43.40535, -21.71616], [-43.40513, -21.71639], [-43.40501, -21.7165], [-43.40486, -21.71664], [-43.40457, -21.71685], [-43.40406, -21.71718], [-43.4035, -21.71752], [-43.40333, -21.71763], [-43.40317, -21.71774], [-43.40306, -21.71783], [-43.40295, -21.71792], [-43.4028, -21.71802], [-43.40261, -21.71812], [-43.40193, -21.71837], [-43.40118, -21.71864], [-43.40106, -21.71866], [-43.40097, -21.71868], [-43.40093, -21.71869], [-43.40087, -21.71872], [-43.40082, -21.71873], [-43.40078, -21.71875], [-43.40074, -21.71876], [-43.40071, -21.71876], [-43.40068, -21.71875], [-43.40065, -21.71874], [-43.40061, -21.71871], [-43.40057, -21.71868], [-43.40081, -21.71858], [-43.40178, -21.71821], [-43.40236, -21.71799], [-43.40322, -21.7176], [-43.40356, -21.71741], [-43.40408, -21.7171], [-43.40446, -21.71686], [-43.40475, -21.71663], [-43.405, -21.71641], [-43.40535, -21.71607], [-43.40559, -21.71584], [-43.40575, -21.71571], [-43.40592, -21.7156], [-43.40601, -21.71552], [-43.40613, -21.71545], [-43.40635, -21.71531], [-43.40662, -21.71513], [-43.40681, -21.71502], [-43.40702, -21.71491], [-43.40735, -21.71473], [-43.4077, -21.71456], [-43.40774, -21.71454], [-43.408, -21.71441], [-43.40821, -21.71432]]}",2025-08-03T12:17:46.666601,1_to_0,1821.3
"{""type"": ""LineString"", ""coordinates"": [[-43.40821, -21.71432], [-43.40829, -21.71428], [-43.40843, -21.71421], [-43.40889, -21.71397], [-43.4091, -21.71386], [-43.40927, -21.71376], [-43.40933, -21.7138], [-43.40936, -21.71383], [-43.40938, -21.71388], [-43.40941, -21.71392], [-43.40931, -21.71399], [-43.40916, -21.71407], [-43.40894, -21.71419], [-43.40864, -21.71434], [-43.40846, -21.71443], [-43.40841, -21.71444], [-43.40833, -21.71446], [-43.40817, -21.7145], [-43.40803, -21.71454], [-43.40789, -21.71459], [-43.40778, -21.71463], [-43.40773, -21.71466], [-43.40752, -21.71474], [-43.4075, -21.71481], [-43.40749, -21.71487], [-43.40751, -21.71496], [-43.40757, -21.71505], [-43.40764, -21.7152], [-43.40778, -21.71545], [-43.40794, -21.71571], [-43.40814, -21.71602], [-43.40831, -21.71631], [-43.40849, -21.71662], [-43.40736, -21.71718], [-43.407, -21.71735]]}",2025-08-03T12:19:59.999934,0_to_8,773.6
